,precision,recall,f1-score,support
Bùi Mẫn,0.5,0.6,0.5454545454545454,5.0
Cẩm Hà,0.8571428571428571,0.75,0.8,8.0
Hoàng Anh Tú,0.42857142857142855,0.5,0.46153846153846156,6.0
Hà Đức Trí,1.0,0.4,0.5714285714285714,5.0
Hồ Quốc Tuấn,1.0,1.0,1.0,4.0
Jesse Peterson,0.6666666666666666,0.8888888888888888,0.7619047619047619,9.0
Lang Minh,0.8333333333333334,0.625,0.7142857142857143,8.0
Lê Tuyết,1.0,0.6666666666666666,0.8,6.0
Lưu Đình Long,0.8888888888888888,0.8,0.8421052631578947,10.0
Nguyễn Lân Hiếu,0.7777777777777778,0.875,0.8235294117647058,8.0
Nguyễn Nam Cường,1.0,1.0,1.0,5.0
Nguyễn Văn Tuấn,1.0,1.0,1.0,6.0
Nguyễn Đăng Anh Thi,0.36363636363636365,0.8,0.5,5.0
Phạm Thanh Tuấn,1.0,0.6,0.75,5.0
Quan Thế Dân,0.8125,0.8666666666666667,0.8387096774193549,15.0
Trình Phương Quân,1.0,1.0,1.0,7.0
Trần Văn Phúc,0.8333333333333334,0.8333333333333334,0.8333333333333334,12.0
Tô Thức,0.5714285714285714,0.6666666666666666,0.6153846153846154,6.0
Võ Nhật Vinh,0.7368421052631579,0.7368421052631579,0.7368421052631579,19.0
Đặng Hùng Võ,1.0,0.6666666666666666,0.8,9.0
accuracy,0.7721518987341772,0.7721518987341772,0.7721518987341772,0.7721518987341772
macro avg,0.813506066302119,0.7637865497076023,0.7697258230467559,158.0
weighted avg,0.8110164712221676,0.7721518987341772,0.7775779474960097,158.0
